year,rating,review,roberta_neg,roberta_neu,roberta_pos
2023,5,"This app is great! But I have a suggestion. It would be great if rather than searching for flights from specific cities/airports, I have the option to search for flights all airports in a specific area. For example, I live in Philly but I am more than willing to drive to EWR, JFK, IAD etc if those airports have a better deal. Being able to search airports within 100 miles of where I am would be a game changer.",-2.366166830062866,0.0417582504451274,2.773423671722412
2021,3,"Upon updating the app, it appears that a lot of the previously removed functionality has been returned to the app. Estimated prices in the date window are back, although somewhat less expansive that I would hope (and fewer than appear using google flights). The bar graph view is not here though, which is disappointing. The explore feature doesn't feel streamlined and feels a little too ""curated"" for my liking. Estimated prices for suggested travel cities don't show up in the explore page.",1.4275075197219849,0.1386113315820694,-1.7490990161895752
2020,1,"The latest version as of 25DEC2020 is absolute garbage. Can't search a range of dates, can't find an option to search anything other than one way, and can no longer even get a price on the month view, just a series of colored dots with no explanation of what they represent. This is a classic case of trying to fix what isn't broken. This is a garbage update that I am proud to say will drive me to uninstalling unless it's reverted and never looking back. I've used this app since 2012/13, no more.",2.564242362976074,-0.4127853512763977,-2.259641647338867
2020,1,"The New View is Terrible! Primarily for esthetics and functionality, please return to the previous format. Feels like an MS-DOS search. This was the best app for finding destinations. Part of the selection process involved seeing pictures of the destinations/prices and plugging in timeframes based on that. Now you dont see any of those things. Takes you straight to a calender??? The whole purpose of the app is to not HAVE to choose a date for your vacation.",0.8170503973960876,0.0571507140994071,-0.8829520344734192
2021,1,"Years ago, I found great flights on this app. I travel US to Europe. Now, all the cheapest providers that pop up are some BS companies nobody has ever heard of, with lots of negative reviews. No thank you. This app is now nothing but a waste of time. Uninstalling. Here's a tip: Every time I have flown for the last twenty years or so, Expedia has had the best deals and I booked through them. (For me, it's regular flights, no hotel or car, no last minute or standby.) Always a great experience.",-0.7486560940742493,-0.2638917565345764,1.354573369026184
2023,1,Out dated App. I used to use this as my go to flight search for booking overseas. I would promote it with my family and friends for years. Then this past year- year n half it's gone downhill. It claims I can get a flight for X amount when I click to book suddenly doubles or triples in price. Never did that before. I don't trust it anymore and honestly have just been using other mainstream apps since those work. Gave up after the mainstream ones gave better deals. Sorry Sky scanner.,1.5920790433883667,0.0662657991051673,-1.7663904428482056
2021,1,"Horrible, horrible app. App going down the drain since last few years. Can't even set ""Departing From"" other than your specific location? What happens if you're checking flights for your parents or someone's else by using a different city to depart from and not your current location? App becomes totally useless. Also, a me of the vendors listed in the the search results are bunch of scammer. Horrible, horrible app.",3.4039382934570312,-0.6974814534187317,-2.786796808242798
2021,1,"Skyscanner used to be the only place I'd even look for flights (after lot sof experience of it being the best every time I compared results) but the redesign they did, I guess in the last year is awful. All the good filtering options are gone. It's slow and confusing,l. I literally can't even figure out what currency it's showing me prices for. It's completely awful now and I don't know how this got approved to be done.",2.183725357055664,-0.2815878689289093,-1.9955570697784424
2019,1,This app is really convenient until you find out that they charge different people different prices for no reason. Any flight my girlfriend searches will have a list of flight prices and times. When I search the EXACT SAME FLIGHTS I am charged at least 200 more and at least 10 hours more of travel. I've tried to contact these people but their phone number is very well hidden. I do not know why I am being over charged for the exact same flights or why my searches do not yield the same results.,1.450934648513794,0.1019116565585136,-1.5779814720153809
2019,1,"Could be a good app but the prices on my saved trips doesn't update & hasn't since I created them. Everytime I open the app, it shows the same price from 30 days ago. I don't see any feature to refresh it other than clicking into the trip & hitting check prices. Even after doing so, the price on the trip page still reflects 30 days ago. I thought the app would automatically refresh the prices on the saved trip page without having to click into it. Uninstalled.",1.0099862813949585,0.2410615980625152,-1.399090051651001
2019,5,"Fantastic app. The UI is clean and the filters are unusually powerful for a mobile app. My only complaint is that I wish the desktop site showed the plane type and features the same way the app does. I like to fly larger planes if possible, so knowing if my flight legs are going to be on a 737 or a 777 matters to me, and that isn't something I can see on the desktop website.",-0.569950520992279,0.1814264506101608,0.5205634236335754
2021,2,"Really good app idea but everytime it shows me a low flight price in the explore section and then I click on it, the actual price is much more expensive which makes it pretty much useless... Also, it would be nice if I could select flexible dates. For example, I could select the start date and end date of my spring break and then have it show me all the cheapest flights within those dates whether it be a 3 day trip, 5 day trip, or a trip for the whole week.",-0.1905165910720825,0.1463831663131714,0.1584303826093673
2021,1,the app has evolved away from what attracted me to it many years ago. I used to enjoy planning my vacations with the graph pricing feature. it made my decisions easy and affordable. the apps current interface is more limited and confusing. will probably seek other options since prices are relative and ease of discovery and purchase are my most important concerns.,-0.3811619281768799,0.1919405907392501,0.2482975274324417
2022,5,"I don't review often but I have to say after traveling to Greece, Georgia, Florida, and California using this app, I am one happy consumer. This may be the best app I've ever used for a few reasons. - Shows you a list of all flight combinations with specific parameters or within a time range. Filter is easy to use. - You can save a search and than save that specific trip. and it will actually notify you when the price changes. - Doesn't save your info to price gouge. 10/10 on the app👍",-2.335926055908203,-0.202110543847084,3.070106029510498
2019,2,"So as a person who loves to travel and always travels on a budget, there's better apps and websites out there. I mostly use Expedia because they offer packages. I always travel alone (which is always pricier) but I wanted to compare prices for a trip to Dublin,Ireland for Dec 2019. Same days, same airlines,same hotel and car rental. Skyscanner was 500 dollars more than what Expedia offered. Just do your research and happy travels! 😁",-1.5843427181243896,0.1923802495002746,1.6310018301010132
2020,1,Went from the best app to use for finding cheap flights to finding the most expensive flights. 12k to fly across the country in economy. Not when I did the leg work and found the same on a different site for less than 400. Cant find out the cheapest day to fly out anymore. Some of us travel for fun.. well now you've taken out how to plan an efficient vacation and making it more leg work. I've now uninstalled this app due to the issues that have happened.,0.9581722617149352,0.1414061486721038,-1.141596436500549
2022,5,"Unbelievable! The dev team actually implemented a feature I requested. Previously, the app didn't show the date of arrival at your destination when searching for flights. This is important when flying across different time zones. I posted a review and sent them an email and they promised to do it. I'm really thankful to them. Best travel app ever.",-1.7216134071350098,-0.431284487247467,2.711092233657837
2020,2,I've used this app twice now and got mixed results. The 1st time was excellent. Got a round trip ticket last year no problem. This year I've tried to book and both times I get an error message. I called the airline and was told on 2 different occasions that those flights are sold out and that's why after I submit my payment that it gets kicked out. Why wouldn't Skyscanner know that flights are unavailable and why wait until you've already submitted payment? Won't use this app again.,1.4742413759231567,-0.0190016627311706,-1.4729012250900269
2020,1,"Hate it!! Go back to the way it was!! I LOVED it because we could filter by cheapest month and no other site does that! Well NOW you don't either! The site went from number 1 to useless! I used it EVERY TIME I planned to travel, just went to South Korea using this! Now it is junk!! Please restore that feature! People need to stop trying to fix things that aren't broken! Give us the old one back please!!",0.8362364768981934,-0.08220836520195,-0.6929558515548706
