todel,year,rating,review,roberta_neg,roberta_neu,roberta_pos
8730,2016,5,Once again one of the best UI and easy to navigate app.One of my best and will be the best app ever.,-2.6296935081481934,-0.6449717283248901,3.96463680267334
8731,2016,5,This app make it easy for you to look for the cheapest Ticket for your desired destination.,-3.3334944248199463,0.6179895401000977,3.055119752883911
8732,2016,5,You can find tickets for a cheap prices  is really  good .,-2.555210828781128,-0.15807496011257172,3.3585126399993896
8733,2016,1,New version unusable. Please scrap and revert to previous version.,2.139734983444214,0.16980841755867004,-2.351666212081909
8734,2016,5,Always giving the cheapest price comparing to many other apps.,-1.3313038349151611,0.7992435693740845,0.5158591866493225
8735,2016,5,Easy to use happy with booking the flights still got a couple of flights to book,-2.3099753856658936,0.4336622953414917,2.280346632003784
8737,2016,1,Unusable and frustrating. Please revert to old form,2.522895574569702,-0.11727570742368698,-2.3558452129364014
8738,2016,5,Very useful ad save a time looking for the best airfare,-2.2943100929260254,0.0729367658495903,2.6345927715301514
8739,2016,5,Only be better if you could choose fights  separately,-0.6926621794700623,0.5675894021987915,0.17701835930347443
8740,2017,5,Is the best thing when you want a fast and cheep serch,-2.3672280311584473,0.036619484424591064,2.8906092643737793
8742,2016,1,"I'm going to try and download the update... but am still gutted they decided to ruin a great App. After updating I have not been able to use the this app. It's UI is so NOT user friendly! I'm only going to try this update out because let's face it, it can't get any worse. I had to forcibly download the newer version of the app because all the apps off my phone were deleted.... yes just tried it out and I am now deleting this App.",2.7595956325531006,-0.5112447738647461,-2.334296226501465
8743,2016,1,"This app was an amazing app that allowed you to look into the future and find nuggets, amazing deals and really separate itself from Expedia or Travelocity because it was unique in its search feature. But with this newest update it has completely ruined the gem that it was, it has become nothing more than your average travel app now... if they dont restore the search feature it use to have.. I will go back to google flights...",0.6194190382957458,-0.027418609708547592,-0.5650236010551453
8744,2016,1,"Hate this new update! I used to be able to see all the cheapest international flights in a list, and now it's gone! I loved being able to plan trips to other countries and seeing the best deals, and now the feature is gone! I will wait till the next update before I delete to see if the best features of this app, the whole reason i used this app and recommended it to others, come back.",0.548666775226593,-0.020301472395658493,-0.48818108439445496
8745,2016,4,"It's getting better compared to last update. At least the developer responds. Graph option is top right corner on select a date (mini tutorial would be cool to have to show changes, I thought the graph was gone still). More one-way options would be nice, or multiple departure days, rather than re-searching each day. I like the rating system, good to know... Keep it up, will be back at it as top travel search app...",-2.1212258338928223,-0.2682391405105591,2.8916988372802734
8746,2016,2,"I personally don't like the new interface at all. It used to be so much better. I have bought so many tickets to places I didn't think about based on where and when to go, and let Skyscanner offer me options. Now has totally changed. Nothing special from any other app. Maybe the only interesting addition is the deals option, but not as easy to use as it used to be. Sorry, but if you don't bring back the classic option, I am out",1.745068073272705,-0.15196169912815094,-1.6931661367416382
8747,2016,1,"Nope. I thought you guys were going to revert bacj but no. Still sucks. I want the old app that you would show cheapest flight from everywhere, and then shows the price range for the span of 6 months, and then show it in graph how it would fare everyday. Just like before. Its the only reason i buy tickets even when i dont consider buying. It used to be so simple, so great. What happened? You guys change programmer or something? The old one WAS PERFECTION. No other app is better than that one!",0.26840129494667053,0.04824075475335121,-0.2720239758491516
8748,2016,1,"Do NOT use this App. Use the website on your mobile as it provides classic filters.  App has lost its special feature of being able to view the price of flights on the graph/chart. I will keep the app until the next update. Maybe get a new development team as clearly they have broken an app that did not need fixing? Why fix/update an App that was fulfilling its service? User Friendliness 5, APP Features 1, Development Team 0. Bring back classic features such as filter by flight time just like mobile website",1.1257884502410889,0.2426958829164505,-1.477696180343628
8749,2016,2,UPDATE - I uploaded the app again since I saw the response to my review. I still can't do what I want. I used to be able to pick a departure airport and choose a destination and could find the cheapest dates to travel between the two destinations. I don't see where I can do this anymore. It forces me to enter specific dates now. I miss this feature and will look for another app that does this.,1.4096219539642334,0.24561798572540283,-1.7239325046539307
8750,2016,1,"This app used to be amazing, you could search flights easily and amend your search filters. You could see a month worth of flights to choose the best option for you. They have clearly tried to make the app more aesthetically pleasing but lost the user friendliness of the app. Why fix what was working fine? I will be using a different app for searching for low cost flights, in the mean time I hope the developers fix their app...",-0.14306747913360596,0.0980321615934372,0.13245955109596252
8751,2016,1,"Was 5 stars, now 1 star. Unless I cannot see it but where are the options to apply certain dates? If it is there somewhere the UI has become crap. Yes the minimal GUI's for those on low data plans (you would get more visitors, big hint) but I feel standards have dropped. Sorry SkyScanner programmer (wo)man, I know you can do better! How do I go back a version please?",1.1266697645187378,0.12953037023544312,-1.388826608657837
8752,2016,1,"This app used to be my go to for all family holidays. It's now so bad I have to look elsewhere for lowest prices. It used to have all deals but now only has base fares (no deals). The search everywhere only brings up a few flights and these are not places I want to go or have ever searched. If it continues like this, I will have to delete the app!!!",2.291243553161621,-0.2600823640823364,-2.136549234390259
8753,2016,1,"Searching used to have heaps of flexibility. Edited my feedback from 5 stars (previously highly impressed) to 2 stars, now to 1 star due to many of the bkg agents listed here undercut ticket prices direct from the airlines, making it more expensive for your average traveller. And then when you go through the whole process of entering your credit card details and purchasing tickets, there is no garantee that those tickets were even available. A typical greedy set up of mostly 'middle men' taking a fee.",0.8562570810317993,0.41380345821380615,-1.3225675821304321
8754,2016,1,"I used to have this app in the past and it WAS good. I just installed it on my new phone and the experience is very disappointing indeed. The great feature that made this app so good,  the graphical flight prices over the month is gone. Maybe now it's just a commercial app paid for by airline advertising money? How else could it go from best to worse? I would rate it zero stars if I could.",1.1280556917190552,-0.12081621587276459,-1.0133886337280273
8755,2016,1,"This was an excellent app, very functional allowing whole month searches and letting you refine results down by country. All gone in the recent updates, replaced with useless pictures meaning you have to scroll and scroll to get anywhere. Now it's only usable if you have a fixed destination in mind, as ""Everywhere"" search results mean you have to scroll through every domestic combination first, pages and pages of results you don't want to see - bring back country-led results for ""everywhere"" searches.",-0.4552179276943207,0.10938867181539536,0.4954048991203308
8756,2016,2,"I can search the cheapest flights across the whole month! Awesome app, I'll be saving so much money now. Thanks!  Edit (1/9/16): App has gotten confusing and less organised in recent update. Much harder to find a good flight. Overall experience is much worse than before. Probably not worth downloading any now.",0.7350051403045654,-0.1804690808057785,-0.4922540485858917
8757,2016,1,"This app used to be great. The new update has removed simple list and search features and replaced them with pretty pictures. 'Top picks' don't reflect my top picks and every time I open the app now, it's stuck on a search I did once ages ago rather than my home airport like it used to.",1.0687612295150757,0.0630827322602272,-1.1792157888412476
8758,2016,1,"Old interface and app were superb.Now uninstalling.  Update. You don't seem to understand the majority of one star ratings, do you? Bring back the old version, this ""TopDeals"" pushing has nothing to do with what the app is supposed to do. Besides, the monthly chart is nowhere to be found, nothing in the top right corner.",1.198004126548767,0.0795210674405098,-1.408095121383667
8759,2016,2,"The old version was so simple and easy to use. This one seems to be more ""modern"" but it has to many problems. Sometimes I can not see the price day by day in a whole month and in the older version was really useful the option everywhere because you could see the countries with the cheapest flights prices",-0.49715185165405273,0.17659182846546173,0.3901998698711395
8760,2016,1,We need back previous version as it were predicting rates month and dates wise... secondly please dont follow make mytrip prices as i found last month wrong prediction offering 5100rs ccu to dxb. Thats a false.  This is cheat company.,2.4035215377807617,0.013805389404296875,-2.5082101821899414
8761,2016,2,"I gave this app 5 stars 2 yrs ago.I dont understand the need to constantly change apps.It was fine the way it was. As soon as you make yourself familiar with a change, along comes another update to annoy and confuse. I will be using something else until you come to your senses...",0.7414681315422058,0.239655002951622,-0.976087212562561
8762,2016,3,"I want to avoid booking the wrong airline when the airline has a codeshare. Can be very confusing, previously it has the 'operated by' detail for flights. Otherwise good app but pls make it simple to use,not too many update that it has become an inconvenience.",0.8023861646652222,0.2537175118923187,-1.0411176681518555
8763,2016,1,"This used be one of the best, clear, fast and easy to use. Now I honestly can't work out how to use it. Just tried to get a price on a one-way flight - seems impossible. Please revert to the old version it was great.",0.028558194637298584,-0.010969133116304874,0.1470126211643219
8764,2016,2,"Generically boring app.. Slowly losing its appeal as it would few years back. We love simpleness but now,  complicated mehh. Will hold on until 2 updates.",1.5517642498016357,-0.057639505714178085,-1.5161380767822266
8765,2016,1,"Used this app a long time to search for flights and the best time to book. Now you've gone and ruined it, won't be using again until it's fixed! Please fix it soon, I loved it with the future prices!",0.5159746408462524,-0.011129573918879032,-0.3987821936607361
8766,2016,1,"Just installed the update, very bad user interface design none of the easy functions available. No simple way to select direct flights. Developers need to listen and revert to the old interface.",2.091125011444092,-0.07960519194602966,-2.08109712600708
8767,2016,4,It's able to help find the right flight I need. Only part that confuses me is the date. I'm not sure what timezone the flight will follow... is it my timezone or the country where I will arrive and depart from?,0.7819901704788208,0.49064579606056213,-1.2339199781417847
8768,2016,2,"By default, the app set a fixed period.  If you want to change the dates, it will take a while to work it out. I would like something easier and more user friendly.",0.037673335522413254,0.45340797305107117,-0.47540009021759033
8769,2016,3,Good for finding flights but I've never been able to go all the way thru with a booking. I have had to go to an airport airline desk or by the time you click on it the offer is gone or not valid. Good for flight information tho.,0.12157318741083145,0.41507452726364136,-0.5252324342727661
8770,2016,3,"Why change such a good app? You can find what you need now, but is hard to remember where to find the graphs.  Still use the old version on my other device.",0.2730814516544342,0.24787010252475739,-0.5096815228462219
8771,2016,1,I used to really love this  app and recommended it to everyone.  Since the change and amalgamation of flights and hotels it is awful.  I will be using a different app in the  future but really hope this can be reverted back to the original and best....  Please please please!,-0.3554556667804718,-0.10692961513996124,0.7119638919830322
8772,2016,5,"Bringing back your old options makes this App very useful again. Thx for listening to the users. Maybe instead of adding some stuff at random in the future, send a survey? I'm sure that quite a few travellers have some ideas what to add. I would like multi-stop,  or some sort of circle where starting and finishing point is the same, you choose how many stops you would like over what time...",-1.8919684886932373,0.2993311882019043,1.839022159576416
8773,2016,1,"Been using Scanner App for a few years and now changing to something else. Too many prompts to log in, don't want to book holidays or cars only flights - clues in the title skyscanner!",0.5826468467712402,0.3541962504386902,-0.9869828224182129
8774,2016,2,The whole of month feature is why o used SkyScanner over other booking companies. You can still do it on the desktop app but it'd be good to see on mobile. I'm sure it used to be?!,-1.4004031419754028,0.5933048725128174,0.8778161406517029
8775,2016,4,"App is very nice and easy to use. Though i found one problem. When u select the destination then it will propose some dates automatically. But there is no way to select new dates. I have to select the proposed date and then on the next screen, i need to edit the change.",-0.14120827615261078,0.1801135241985321,0.09901108592748642
8776,2016,1,Used to love this app. They seem to have missed the ball. Used to be able to see monthly flights with the cost. Now? Where is it gone. Ah well it was good while it lasted.,0.2203545719385147,0.030062908306717873,-0.188175767660141
8777,2016,1,"Very frustrated with he new version, can't compare prices on different days as easily, generic searches don't bring up cheap flights, you have to put multiple specific searches in, massive pain, no longer using.",2.6185710430145264,-0.23211346566677094,-2.420921802520752
